time	basinflow(1)	basingw(1)
41454.91667	8.14843E-5	0
41454.95833	8.08847E-5	0
41455	8.02697E-5	0
41455.04167	7.96415E-5	0
41455.08333	7.90023E-5	0
41455.125	7.8354E-5	0
41455.16667	7.76985E-5	0
41455.20833	7.70374E-5	0
41455.25	7.63723E-5	0
41455.29167	7.57046E-5	0
41455.33333	7.50356E-5	0
41455.375	7.43666E-5	0
41455.41667	7.36987E-5	0
41455.45833	7.30328E-5	0
41455.5	7.23699E-5	0
41455.54167	7.171E-5	0
41455.58333	7.10519E-5	0
41455.625	7.03938E-5	0
41455.66667	6.97339E-5	0
41455.70833	6.90707E-5	0
41455.75	6.84026E-5	0
41455.79167	6.77284E-5	0
41455.83333	6.70469E-5	0
41455.875	6.63574E-5	0
41455.91667	6.5661E-5	0
41455.95833	6.49593E-5	0
41456	6.4254E-5	0
41456.04167	6.35464E-5	0
41456.08333	6.2838E-5	0
41456.125	6.21301E-5	0
41456.16667	6.14236E-5	0
41456.20833	6.07199E-5	0
41456.25	6.00197E-5	0
41456.29167	5.9324E-5	0
41456.33333	5.86336E-5	0
41456.375	5.79491E-5	0
41456.41667	5.72714E-5	0
41456.45833	5.66009E-5	0
41456.5	5.59382E-5	0
41456.54167	5.5283E-5	0
41456.58333	5.46346E-5	0
41456.625	5.39915E-5	0
41456.66667	5.33526E-5	0
41456.70833	5.27169E-5	0
41456.75	5.20833E-5	0
41456.79167	5.14511E-5	0
41456.83333	5.08195E-5	0
41456.875	5.01886E-5	0
41456.91667	4.95591E-5	0
41456.95833	4.89318E-5	0
41457	4.83077E-5	0
41457.04167	4.76874E-5	0
41457.08333	4.70718E-5	0
41457.125	4.64614E-5	0
41457.16667	4.58569E-5	0
41457.20833	4.52589E-5	0
41457.25	4.46677E-5	0
41457.29167	4.40839E-5	0
41457.33333	4.35079E-5	0
41457.375	4.29399E-5	0
41457.41667	4.23802E-5	0
41457.45833	4.18292E-5	0
41457.5	4.1287E-5	0
41457.54167	4.07535E-5	0
41457.58333	4.02279E-5	0
41457.625	3.97089E-5	0
41457.66667	3.91953E-5	0
41457.70833	3.86861E-5	0
41457.75	3.81801E-5	0
41457.79167	3.76765E-5	0
41457.83333	3.71741E-5	0
41457.875	3.66725E-5	0
41457.91667	3.61717E-5	0
41457.95833	3.56725E-5	0
41458	3.51757E-5	0
41458.04167	3.46819E-5	0
41458.08333	3.41916E-5	0
41458.125	3.37054E-5	0
41458.16667	3.32238E-5	0
41458.20833	3.27472E-5	0
41458.25	3.22761E-5	0
41458.29167	3.18107E-5	0
41458.33333	3.13513E-5	0
41458.375	3.08984E-5	0
41458.41667	3.0452E-5	0
41458.45833	3.00125E-5	0
41458.5	2.958E-5	0
41458.54167	2.91544E-5	0
41458.58333	2.87352E-5	0
41458.625	2.83219E-5	0
41458.66667	2.79139E-5	0
41458.70833	2.75105E-5	0
41458.75	2.71115E-5	0
41458.79167	2.67162E-5	0
41458.83333	2.63246E-5	0
41458.875	2.59366E-5	0
41458.91667	2.5554E-5	0
41458.95833	6.59037E-5	0
41459	0.000471224	0
41459.04167	0.00277271	0
41459.08333	0.00986586	0
41459.125	0.023874	0
41459.16667	0.0449507	0
41459.20833	0.0724884	0
41459.25	0.105973	0
41459.29167	0.145004	0
41459.33333	0.189288	0
41459.375	0.238605	0
41459.41667	0.292791	0
41459.45833	0.351721	0
41459.5	0.415306	0
41459.54167	0.48348	0
41459.58333	0.555589	0
41459.625	0.629835	0
41459.66667	0.704068	0
41459.70833	0.77659	0
41459.75	0.846371	0
41459.79167	0.913251	0
41459.83333	0.979617	0
41459.875	1.05528	0
41459.91667	1.21261	0
41459.95833	2.13332	0
41460	4.76599	0
41460.04167	9.02049	0
41460.08333	14.2682	0
41460.125	20.2043	0
41460.16667	26.5922	0
41460.20833	33.2072	0
41460.25	39.9052	0
41460.29167	46.5864	0
41460.33333	53.1786	0
41460.375	59.629	0
41460.41667	65.8978	0
41460.45833	71.9556	0
41460.5	77.7792	0
41460.54167	83.3456	0
41460.58333	88.6194	0
41460.625	93.5505	0
41460.66667	98.0959	0
41460.70833	102.234	0
41460.75	105.959	0
41460.79167	109.275	0
41460.83333	112.199	0
41460.875	114.754	0
41460.91667	116.973	0
41460.95833	118.892	0
41461	120.544	0
41461.04167	121.966	0
41461.08333	123.191	0
41461.125	124.25	0
41461.16667	125.177	0
41461.20833	126.002	0
41461.25	126.755	0
41461.29167	127.466	0
41461.33333	128.166	0
41461.375	128.885	0
41461.41667	129.652	0
41461.45833	130.501	0
41461.5	131.462	0
41461.54167	132.545	0
41461.58333	133.716	0
41461.625	134.923	0
41461.66667	136.122	0
41461.70833	137.283	0
41461.75	138.387	0
41461.79167	139.426	0
41461.83333	140.409	0
41461.875	141.387	0
41461.91667	142.447	0
41461.95833	143.693	0
41462	145.24	0
41462.04167	147.207	0
41462.08333	149.712	0
41462.125	152.861	0
41462.16667	156.744	0
41462.20833	161.432	0
41462.25	166.978	0
41462.29167	173.414	0
41462.33333	180.756	0
41462.375	189.001	0
41462.41667	198.127	0
41462.45833	208.102	0
41462.5	218.879	0
41462.54167	230.316	0
41462.58333	242.129	0
41462.625	254.035	0
41462.66667	265.845	0
41462.70833	277.446	0
41462.75	288.774	0
41462.79167	299.786	0
41462.83333	310.495	0
41462.875	321.035	0
41462.91667	331.653	0
41462.95833	342.564	0
41463	353.881	0
41463.04167	365.624	0
41463.08333	377.763	0
41463.125	390.244	0
41463.16667	403.006	0
41463.20833	415.99	0
41463.25	429.138	0
41463.29167	442.395	0
41463.33333	455.709	0
41463.375	469.033	0
41463.41667	482.322	0
41463.45833	495.536	0
41463.5	508.629	0
41463.54167	521.461	0
41463.58333	533.768	0
41463.625	545.329	0
41463.66667	556.032	0
41463.70833	565.82	0
41463.75	574.668	0
41463.79167	582.574	0
41463.83333	589.576	0
41463.875	595.784	0
41463.91667	601.383	0
41463.95833	606.55	0
41464	611.42	0
41464.04167	616.081	0
41464.08333	620.579	0
41464.125	624.934	0
41464.16667	629.148	0
41464.20833	633.211	0
41464.25	637.111	0
41464.29167	640.83	0
41464.33333	644.35	0
41464.375	647.655	0
41464.41667	650.731	0
41464.45833	653.564	0
41464.5	656.138	0
41464.54167	658.392	0
41464.58333	660.187	0
41464.625	661.386	0
41464.66667	661.903	0
41464.70833	661.697	0
41464.75	660.753	0
41464.79167	659.079	0
41464.83333	656.693	0
41464.875	653.646	0
41464.91667	650.018	0
41464.95833	645.903	0
41465	641.387	0
41465.04167	636.548	0
41465.08333	631.455	0
41465.125	626.167	0
41465.16667	620.733	0
41465.20833	615.194	0
41465.25	609.581	0
41465.29167	603.92	0
41465.33333	598.227	0
41465.375	592.518	0
41465.41667	586.801	0
41465.45833	581.083	0
41465.5	575.366	0
41465.54167	569.621	0
41465.58333	563.777	0
41465.625	557.763	0
41465.66667	551.534	0
41465.70833	545.065	0
41465.75	538.344	0
41465.79167	531.37	0
41465.83333	524.154	0
41465.875	516.717	0
41465.91667	509.091	0
41465.95833	501.31	0
41466	493.407	0
41466.04167	485.411	0
41466.08333	477.349	0
41466.125	469.247	0
41466.16667	461.127	0
41466.20833	453.011	0
41466.25	444.916	0
41466.29167	436.859	0
41466.33333	428.855	0
41466.375	420.917	0
41466.41667	413.056	0
41466.45833	405.283	0
41466.5	397.605	0
41466.54167	390.023	0
41466.58333	382.526	0
41466.625	375.093	0
41466.66667	367.708	0
41466.70833	360.36	0
41466.75	353.044	0
41466.79167	345.759	0
41466.83333	338.507	0
41466.875	331.293	0
41466.91667	324.126	0
41466.95833	317.015	0
41467	309.968	0
41467.04167	302.993	0
41467.08333	296.096	0
41467.125	289.282	0
41467.16667	282.559	0
41467.20833	275.93	0
41467.25	269.399	0
41467.29167	262.971	0
41467.33333	256.648	0
41467.375	250.434	0
41467.41667	244.329	0
41467.45833	238.338	0
41467.5	232.459	0
41467.54167	226.694	0
41467.58333	221.038	0
41467.625	215.486	0
41467.66667	210.034	0
41467.70833	204.678	0
41467.75	199.418	0
41467.79167	194.252	0
41467.83333	189.179	0
41467.875	184.2	0
41467.91667	179.315	0
41467.95833	174.524	0
41468	169.829	0
41468.04167	165.229	0
41468.08333	160.725	0
41468.125	156.316	0
41468.16667	152.002	0
41468.20833	147.784	0
41468.25	143.659	0
41468.29167	139.628	0
41468.33333	135.69	0
41468.375	131.844	0
41468.41667	128.09	0
41468.45833	124.426	0
41468.5	120.85	0
41468.54167	117.363	0
41468.58333	113.961	0
41468.625	110.644	0
41468.66667	107.409	0
41468.70833	104.255	0
41468.75	101.18	0
41468.79167	98.1833	0
41468.83333	95.263	0
41468.875	92.4178	0
41468.91667	89.6466	0
41468.95833	86.9479	0
41469	84.3206	0
41469.04167	81.7633	0
41469.08333	79.2747	0
41469.125	76.8534	0
41469.16667	74.498	0
41469.20833	72.2073	0
41469.25	69.9798	0
41469.29167	67.8143	0
41469.33333	65.7094	0
41469.375	63.6636	0
41469.41667	61.6759	0
41469.45833	59.7447	0
41469.5	57.8688	0
41469.54167	56.0468	0
41469.58333	54.2775	0
41469.625	52.5594	0
41469.66667	50.8914	0
41469.70833	49.272	0
41469.75	47.7002	0
41469.79167	46.1746	0
41469.83333	44.6941	0
41469.875	43.2576	0
41469.91667	41.864	0
41469.95833	40.5121	0
41470	39.2009	0
41470.04167	37.9292	0
41470.08333	36.6961	0
41470.125	35.5005	0
41470.16667	34.3414	0
41470.20833	33.2178	0
41470.25	32.1288	0
41470.29167	31.0734	0
41470.33333	30.0507	0
41470.375	29.0597	0
41470.41667	28.0996	0
41470.45833	27.1695	0
41470.5	26.2686	0
41470.54167	25.396	0
41470.58333	24.5509	0
41470.625	23.7324	0
41470.66667	22.94	0
41470.70833	22.1726	0
41470.75	21.4297	0
41470.79167	20.7106	0
41470.83333	20.0144	0
41470.875	19.3406	0
41470.91667	18.6884	0
41470.95833	18.0572	0
41471	17.4465	0
41471.04167	16.8555	0
41471.08333	16.2837	0
41471.125	15.7305	0
41471.16667	15.1954	0
41471.20833	14.6777	0
41471.25	14.177	0
41471.29167	13.6927	0
41471.33333	13.2244	0
41471.375	12.7715	0
41471.41667	12.3335	0
41471.45833	11.91	0
41471.5	11.5005	0
41471.54167	11.1047	0
41471.58333	10.722	0
41471.625	10.352	0
41471.66667	9.99442	0
41471.70833	9.64876	0
41471.75	9.31467	0
41471.79167	8.99178	0
41471.83333	8.67973	0
41471.875	8.37818	0
41471.91667	8.08679	0
41471.95833	7.80523	0
41472	7.53318	0
41472.04167	7.27034	0
41472.08333	7.01642	0
41472.125	6.77113	0
41472.16667	6.5342	0
41472.20833	6.30534	0
41472.25	6.0843	0
41472.29167	5.87082	0
41472.33333	5.66465	0
41472.375	5.46555	0
41472.41667	5.27328	0
41472.45833	5.08762	0
41472.5	4.90835	0
41472.54167	4.73526	0
41472.58333	4.56813	0
41472.625	4.40677	0
41472.66667	4.25098	0
41472.70833	4.10057	0
41472.75	3.95536	0
41472.79167	3.81518	0
41472.83333	3.67985	0
41472.875	3.54922	0
41472.91667	3.42313	0
41472.95833	3.30142	0
41473	3.18394	0
41473.04167	3.07056	0
41473.08333	2.96113	0
41473.125	2.85553	0
41473.16667	2.75361	0
41473.20833	2.65526	0
41473.25	2.56036	0
41473.29167	2.46878	0
41473.33333	2.38042	0
41473.375	2.29516	0
41473.41667	2.21289	0
41473.45833	2.13353	0
41473.5	2.05696	0
41473.54167	1.98308	0
41473.58333	1.91182	0
41473.625	1.84307	0
41473.66667	1.77675	0
41473.70833	1.71278	0
41473.75	1.65108	0
41473.79167	1.59156	0
41473.83333	1.53415	0
41473.875	1.47878	0
41473.91667	1.42537	0
41473.95833	1.37387	0
41474	1.3242	0
41474.04167	1.2763	0
41474.08333	1.2301	0
41474.125	1.18555	0
41474.16667	1.1426	0
41474.20833	1.10117	0
41474.25	1.06123	0
41474.29167	1.02272	0
41474.33333	0.985585	0
41474.375	0.949781	0
41474.41667	0.915262	0
41474.45833	0.88198	0
41474.5	0.849894	0
41474.54167	0.818961	0
41474.58333	0.78914	0
41474.625	0.760391	0
41474.66667	0.732677	0
41474.70833	0.705961	0
41474.75	0.680208	0
41474.79167	0.655383	0
41474.83333	0.631454	0
41474.875	0.608388	0
41474.91667	0.586155	0
41474.95833	0.564725	0
41475	0.54407	0
41475.04167	0.524163	0
41475.08333	0.504976	0
41475.125	0.486484	0
41475.16667	0.468663	0
41475.20833	0.451487	0
41475.25	0.434935	0
41475.29167	0.418985	0
41475.33333	0.403613	0
41475.375	0.3888	0
41475.41667	0.374527	0
41475.45833	0.360772	0
41475.5	0.347519	0
41475.54167	0.334748	0
41475.58333	0.322443	0
41475.625	0.310586	0
41475.66667	0.299162	0
41475.70833	0.288155	0
41475.75	0.277549	0
41475.79167	0.267331	0
41475.83333	0.257485	0
41475.875	0.248	0
41475.91667	0.238861	0
41475.95833	0.230056	0
41476	0.221574	0
41476.04167	0.213402	0
41476.08333	0.205529	0
41476.125	0.197945	0
41476.16667	0.190639	0
41476.20833	0.183601	0
41476.25	0.176821	0
41476.29167	0.170291	0
41476.33333	0.164	0
41476.375	0.15794	0
41476.41667	0.152103	0
41476.45833	0.146481	0
41476.5	0.141065	0
41476.54167	0.135849	0
41476.58333	0.130825	0
41476.625	0.125987	0
41476.66667	0.121326	0
41476.70833	0.116837	0
41476.75	0.112513	0
41476.79167	0.108349	0
41476.83333	0.104339	0
41476.875	0.100476	0
41476.91667	0.0967552	0
41476.95833	0.0931719	0
41477	0.089721	0
41477.04167	0.0863974	0
41477.08333	0.0831966	0
41477.125	0.0801141	0
41477.16667	0.0771455	0
41477.20833	0.0742867	0
41477.25	0.0715337	0
41477.29167	0.0688826	0
41477.33333	0.0663297	0
41477.375	0.0638713	0
41477.41667	0.0615041	0
41477.45833	0.0592246	0
41477.5	0.0570296	0
41477.54167	0.0549161	0
41477.58333	0.052881	0
41477.625	0.0509213	0
41477.66667	0.0490344	0
41477.70833	0.0472174	0
41477.75	0.0454678	0
41477.79167	0.0437831	0
41477.83333	0.0421608	0
41477.875	0.0405986	0
41477.91667	0.0390944	0
41477.95833	0.037646	0
41478	0.0362513	0
41478.04167	0.0349084	0
41478.08333	0.0336153	0
41478.125	0.0323703	0
41478.16667	0.0311716	0
41478.20833	0.0300174	0
41478.25	0.0289061	0
41478.29167	0.0278362	0
41478.33333	0.0268061	0
41478.375	0.0258144	0
41478.41667	0.0248596	0
41478.45833	0.0239403	0
41478.5	0.0230554	0
41478.54167	0.0222034	0
41478.58333	0.0213832	0
41478.625	0.0205935	0
41478.66667	0.0198333	0
41478.70833	0.0191014	0
41478.75	0.0183967	0
41478.79167	0.0177182	0
41478.83333	0.0170649	0
41478.875	0.0164359	0
41478.91667	0.0158302	0
41478.95833	0.0152471	0
41479	0.0146857	0
41479.04167	0.0141451	0
41479.08333	0.0136247	0
41479.125	0.0131236	0
41479.16667	0.0126411	0
41479.20833	0.0121767	0
41479.25	0.0117295	0
41479.29167	0.0112991	0
41479.33333	0.0108846	0
41479.375	0.0104857	0
41479.41667	0.0101016	0
41479.45833	0.00973184	0
41479.5	0.0093759	0
41479.54167	0.00903324	0
41479.58333	0.00870338	0
41479.625	0.0083858	0
41479.66667	0.00808006	0
41479.70833	0.00778568	0
41479.75	0.00750224	0
41479.79167	0.00722931	0
41479.83333	0.0069665	0
41479.875	0.00671342	0
41479.91667	0.00646972	0
41479.95833	0.00623504	0
41480	0.00600906	0
41480.04167	0.00579146	0
41480.08333	0.00558193	0
41480.125	0.00538018	0
41480.16667	0.00518591	0
41480.20833	0.00499886	0
41480.25	0.00481876	0
41480.29167	0.00464535	0
41480.33333	0.00447838	0
41480.375	0.00431763	0
41480.41667	0.00416285	0
41480.45833	0.00401384	0
41480.5	0.00387037	0
41480.54167	0.00373224	0
41480.58333	0.00359924	0
41480.625	0.00347118	0
41480.66667	0.00334785	0
41480.70833	0.00322909	0
41480.75	0.0031147	0
41480.79167	0.00300451	0
41480.83333	0.00289838	0
41480.875	0.00279613	0
41480.91667	0.00269764	0
41480.95833	0.00260275	0
41481	0.00251135	0
41481.04167	0.0024233	0
41481.08333	0.00233849	0
41481.125	0.0022568	0
41481.16667	0.00217812	0
41481.20833	0.00210233	0
41481.25	0.00202934	0
41481.29167	0.00195904	0
41481.33333	0.00189135	0
41481.375	0.00182616	0
41481.41667	0.00176339	0
41481.45833	0.00170296	0
41481.5	0.00164479	0
41481.54167	0.0015888	0
41481.58333	0.00153491	0
41481.625	0.00148305	0
41481.66667	0.00143313	0
41481.70833	0.0013851	0
41481.75	0.00133887	0
41481.79167	0.00129439	0
41481.83333	0.00125159	0
41481.875	0.00121042	0
41481.91667	0.00117082	0
41481.95833	0.00113276	0
41482	0.0010962	0
41482.04167	0.00106109	0
41482.08333	0.0010274	0
41482.125	0.000995093	0
41482.16667	0.00096414	0
41482.20833	0.000934508	0
41482.25	0.000906167	0
41482.29167	0.000879091	0
41482.33333	0.000853254	0
41482.375	0.000828633	0
41482.41667	0.000805206	0
41482.45833	0.000782954	0
41482.5	0.000761861	0
41482.54167	0.000741901	0
41482.58333	0.00072304	0
41482.625	0.000705236	0
41482.66667	0.000688445	0
41482.70833	0.000672626	0
41482.75	0.00065774	0
41482.79167	0.000643747	0
41482.83333	0.00063061	0
41482.875	0.000618301	0
41482.91667	0.000606809	0
41482.95833	0.000596132	0
41483	0.000586268	0
41483.04167	0.000577214	0
41483.08333	0.000568968	0
41483.125	0.000561524	0
41483.16667	0.000554877	0
41483.20833	0.000549021	0
41483.25	0.000543948	0
41483.29167	0.000539652	0
41483.33333	0.000536124	0
41483.375	0.000533357	0
41483.41667	0.000531341	0
41483.45833	0.000530068	0
41483.5	0.000529528	0
41483.54167	0.000529696	0
41483.58333	0.000530515	0
41483.625	0.000531916	0
41483.66667	0.000533829	0
41483.70833	0.000536185	0
41483.75	0.00053892	0
41483.79167	0.000541973	0
41483.83333	0.000545288	0
41483.875	0.00054883	0
41483.91667	0.000552592	0
41483.95833	0.00055658	0
41484	0.000560802	0
41484.04167	0.000565264	0
41484.08333	0.000569968	0
41484.125	0.000574918	0
41484.16667	0.000580116	0
41484.20833	0.000585562	0
41484.25	0.000591252	0
41484.29167	0.000597182	0
41484.33333	0.000603345	0
41484.375	0.000609736	0
41484.41667	0.000616347	0
41484.45833	0.000623171	0
41484.5	0.000630201	0
41484.54167	0.000637414	0
41484.58333	0.000644755	0
41484.625	0.000652155	0
41484.66667	0.000659549	0
41484.70833	0.000666877	0
41484.75	0.000674081	0
41484.79167	0.000681111	0
41484.83333	0.000687919	0
41484.875	0.000694477	0
41484.91667	0.000700797	0
41484.95833	0.000706905	0
41485	0.00071283	0
41485.04167	0.000718598	0
41485.08333	0.000724235	0
41485.125	0.000729763	0
41485.16667	0.000735206	0
41485.20833	0.000740582	0
41485.25	0.000745912	0
41485.29167	0.000751214	0
41485.33333	0.000756502	0
41485.375	0.000761795	0
41485.41667	0.000767106	0
41485.45833	0.00077245	0
41485.5	0.000777839	0
41485.54167	0.00078327	0
41485.58333	0.000788705	0
41485.625	0.000794094	0
41485.66667	0.000799386	0
41485.70833	0.000804535	0
41485.75	0.000809497	0
41485.79167	0.000814235	0
41485.83333	0.000818712	0
41485.875	0.000822912	0
41485.91667	0.00082685	0
41485.95833	0.00083056	0
41486	0.000834074	0
41486.04167	0.000837421	0
41486.08333	0.000840629	0
41486.125	0.000843722	0
41486.16667	0.000846722	0
41486.20833	0.000849648	0
41486.25	0.000852519	0
41486.29167	0.00085535	0
41486.33333	0.000858157	0
41486.375	0.000860951	0
41486.41667	0.000863746	0
41486.45833	0.00086655	0
41486.5	0.000869373	0
41486.54167	0.000872205	0
41486.58333	0.000875007	0
41486.625	0.000877724	0
41486.66667	0.000880306	0
41486.70833	0.0008827	0
41486.75	0.000884859	0
41486.79167	0.000886741	0
41486.83333	0.000888311	0
41486.875	0.000889553	0
41486.91667	0.000890483	0
41486.95833	0.00089113	0
41487	0.000891522	0
41487.04167	0.000891688	0
41487.08333	0.000891651	0
41487.125	0.000891434	0
41487.16667	0.000891058	0
41487.20833	0.000890542	0
41487.25	0.000889904	0
41487.29167	0.000889161	0
41487.33333	0.000888326	0
41487.375	0.000887414	0
41487.41667	0.000886437	0
41487.45833	0.000885406	0
41487.5	0.00088433	0
41487.54167	0.000883206	0
41487.58333	0.000882005	0
41487.625	0.00088069	0
41487.66667	0.000879225	0
41487.70833	0.000877577	0
41487.75	0.000875716	0
41487.79167	0.000873615	0
41487.83333	0.000871252	0
41487.875	0.000868617	0
41487.91667	0.000865724	0
41487.95833	0.000862599	0
41488	0.000859268	0
41488.04167	0.000855754	0
41488.08333	0.000852081	0
41488.125	0.000848268	0
41488.16667	0.000844334	0
41488.20833	0.000840297	0
41488.25	0.000836173	0
41488.29167	0.000831976	0
41488.33333	0.000827721	0
41488.375	0.00082342	0
41488.41667	0.000819084	0
41488.45833	0.000814724	0
41488.5	0.000810348	0
41488.54167	0.000805954	0
41488.58333	0.000801527	0
41488.625	0.000797039	0
41488.66667	0.000792469	0
41488.70833	0.000787793	0
41488.75	0.000782993	0
41488.79167	0.000778053	0
41488.83333	0.000772958	0
41488.875	0.000767706	0
41488.91667	0.000762308	0
41488.95833	0.000756784	0
41489	0.000751152	0
41489.04167	0.000745431	0
41489.08333	0.000739638	0
41489.125	0.000733788	0
41489.16667	0.000727895	0
41489.20833	0.000721974	0
41489.25	0.000716035	0
41489.29167	0.000710091	0
41489.33333	0.000704151	0
41489.375	0.000698224	0
41489.41667	0.00069232	0
41489.45833	0.000686445	0
41489.5	0.000680608	0
41489.54167	0.000674807	0
41489.58333	0.000669031	0
41489.625	0.000663263	0
41489.66667	0.000657486	0
41489.70833	0.000651685	0
41489.75	0.000645846	0
41489.79167	0.000639957	0
41489.83333	0.000634008	0
41489.875	0.000627994	0
41489.91667	0.000621925	0
41489.95833	0.000615813	0
41490	0.000609672	0
41490.04167	0.000603515	0
41490.08333	0.000597355	0
41490.125	0.0005912	0
41490.16667	0.000585062	0
41490.20833	0.00057895	0
41490.25	0.000572871	0
41490.29167	0.000566834	0
41490.33333	0.000560844	0
41490.375	0.00055491	0
41490.41667	0.000549035	0
41490.45833	0.000543225	0
41490.5	0.000537485	0
41490.54167	0.00053181	0
41490.58333	0.000526192	0
41490.625	0.000520618	0
41490.66667	0.000515076	0
41490.70833	0.000509556	0
41490.75	0.000504048	0
41490.79167	0.000498545	0
41490.83333	0.000493046	0
41490.875	0.000487554	0
41490.91667	0.000482075	0
41490.95833	0.000476617	0
41491	0.000471185	0
41491.04167	0.000465789	0
41491.08333	0.000460432	0
41491.125	0.000455122	0
41491.16667	0.000449862	0
41491.20833	0.000444658	0
41491.25	0.000439515	0
41491.29167	0.000434435	0
41491.33333	0.000429422	0
41491.375	0.000424479	0
41491.41667	0.000419609	0
41491.45833	0.000414814	0
41491.5	0.000410094	0
41491.54167	0.00040545	0
41491.58333	0.000400871	0
41491.625	0.000396346	0
41491.66667	0.000391865	0
41491.70833	0.000387416	0
41491.75	0.000382992	0
41491.79167	0.000378583	0
41491.83333	0.000374183	0
41491.875	0.000369789	0
41491.91667	0.000365404	0
41491.95833	0.000361033	0
41492	0.000356682	0
41492.04167	0.000352358	0
41492.08333	0.000348064	0
41492.125	0.000343806	0
41492.16667	0.000339588	0
41492.20833	0.000335413	0
41492.25	0.000331285	0
41492.29167	0.000327207	0
41492.33333	0.000323182	0
41492.375	0.000319212	0
41492.41667	0.0003153	0
41492.45833	0.000311447	0
41492.5	0.000307655	0
41492.54167	0.000303922	0
41492.58333	0.000300244	0
41492.625	0.000296611	0
41492.66667	0.000293018	0
41492.70833	0.000289456	0
41492.75	0.000285919	0
41492.79167	0.000282403	0
41492.83333	0.000278902	0
41492.875	0.000275415	0
41492.91667	0.000271946	0
41492.95833	0.00026852	0
41493	0.000265189	0
41493.04167	0.000262043	0
41493.08333	0.000259223	0
41493.125	0.000256954	0
41493.16667	0.000255589	0
41493.20833	0.000255682	0
41493.25	0.000258104	0
41493.29167	0.000264221	0
41493.33333	0.000276131	0
41493.375	0.000296996	0
41493.41667	0.000331606	0
41493.45833	0.00038724	0
41493.5	0.000474704	0
41493.54167	0.000605111	0
41493.58333	0.000785061	0
41493.625	0.00101832	0
41493.66667	0.00130837	0
41493.70833	0.00165855	0
41493.75	0.00207284	0
41493.79167	0.00255625	0
41493.83333	0.00311448	0
41493.875	0.00376599	0
41493.91667	0.00456071	0
41493.95833	0.00558382	0
41494	0.00695972	0
41494.04167	0.00886637	0
41494.08333	0.0115548	0
41494.125	0.0153758	0
41494.16667	0.0208159	0
41494.20833	0.0285414	0
41494.25	0.0394585	0
41494.29167	0.0547923	0
41494.33333	0.0761841	0
41494.375	0.105805	0
41494.41667	0.146505	0
41494.45833	0.202006	0
41494.5	0.27686	0
41494.54167	0.374578	0
41494.58333	0.495656	0
41494.625	0.638714	0
41494.66667	0.802017	0
41494.70833	0.983718	0
41494.75	1.18212	0
41494.79167	1.39665	0
41494.83333	1.62838	0
41494.875	1.88082	0
41494.91667	2.16202	0
41494.95833	2.48396	0
41495	2.86121	0
41495.04167	3.31116	0
41495.08333	3.85413	0
41495.125	4.51323	0
41495.16667	5.31402	0
41495.20833	6.28396	0
41495.25	7.45141	0
41495.29167	8.84439	0
41495.33333	10.4896	0
41495.375	12.4112	0
41495.41667	14.6297	0
41495.45833	17.1611	0
41495.5	20.0133	0
41495.54167	23.1568	0
41495.58333	26.5071	0
41495.625	29.9685	0
41495.66667	33.4678	0
41495.70833	36.9497	0
41495.75	40.3713	0
41495.79167	43.7006	0
41495.83333	46.9153	0
41495.875	50.0128	0
41495.91667	53.0219	0
41495.95833	55.9872	0
41496	58.9535	0
41496.04167	61.9631	0
41496.08333	65.0554	0
41496.125	68.2659	0
41496.16667	71.624	0
41496.20833	75.1529	0
41496.25	78.8695	0
41496.29167	82.7847	0
41496.33333	86.9036	0
41496.375	91.2253	0
41496.41667	95.7446	0
41496.45833	100.454	0
41496.5	105.34	0
41496.54167	110.347	0
41496.58333	115.359	0
41496.625	120.261	0
41496.66667	124.971	0
41496.70833	129.428	0
41496.75	133.587	0
41496.79167	137.417	0
41496.83333	140.903	0
41496.875	144.058	0
41496.91667	146.92	0
41496.95833	149.545	0
41497	151.989	0
41497.04167	154.308	0
41497.08333	156.555	0
41497.125	158.778	0
41497.16667	161.023	0
41497.20833	163.326	0
41497.25	165.72	0
41497.29167	168.23	0
41497.33333	170.873	0
41497.375	173.662	0
41497.41667	176.603	0
41497.45833	179.699	0
41497.5	182.945	0
41497.54167	186.293	0
41497.58333	189.642	0
41497.625	192.88	0
41497.66667	195.926	0
41497.70833	198.724	0
41497.75	201.236	0
41497.79167	203.44	0
41497.83333	205.331	0
41497.875	206.919	0
41497.91667	208.247	0
41497.95833	209.371	0
41498	210.346	0
41498.04167	211.227	0
41498.08333	212.066	0
41498.125	212.909	0
41498.16667	213.798	0
41498.20833	214.768	0
41498.25	215.849	0
41498.29167	217.063	0
41498.33333	218.427	0
41498.375	219.952	0
41498.41667	221.643	0
41498.45833	223.503	0
41498.5	225.524	0
41498.54167	227.668	0
41498.58333	229.841	0
41498.625	231.934	0
41498.66667	233.868	0
41498.70833	235.594	0
41498.75	237.077	0
41498.79167	238.299	0
41498.83333	239.254	0
41498.875	239.958	0
41498.91667	240.454	0
41498.95833	240.797	0
41499	241.04	0
41499.04167	241.235	0
41499.08333	241.428	0
41499.125	241.66	0
41499.16667	241.967	0
41499.20833	242.377	0
41499.25	242.914	0
41499.29167	243.595	0
41499.33333	244.431	0
41499.375	245.43	0
41499.41667	246.593	0
41499.45833	247.921	0
41499.5	249.403	0
41499.54167	250.99	0
41499.58333	252.582	0
41499.625	254.071	0
41499.66667	255.377	0
41499.70833	256.45	0
41499.75	257.261	0
